CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
FÍSICA,8,520-550,Vestibular/SISU,LICENCIATURA,40,"EDUCAÇÃO, PESQUISA","3.000,00-6.000,00",12,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Estudo das propriedades da matéria e energia.",Física – Universidade Regional do Cariri – URCA,Exatas & Engenharias
QUÍMICA,8,530-560,Vestibular/SISU,LICENCIATURA,40,"INDÚSTRIA, EDUCAÇÃO","3.200,00-5.500,00",14,CRATO,PRESENCIAL,NOTURNO,"Análise de substâncias e processos químicos industriais.",Química Biológica – Universidade Regional do Cariri – URCA,Exatas & Engenharias
CIÊNCIAS ECONÔMICAS,8,560-590,Vestibular/SISU,BACHARELADO,40,"FINANÇAS, MERCADO","3.500,00-7.000,00",25,CRATO,PRESENCIAL,NOTURNO,"Análise de mercados, políticas públicas e finanças.",Ciências Econômicas – Universidade Regional do Cariri – URCA,Negócios & Gestão
CIÊNCIAS SOCIAIS,8,540-570,Vestibular/SISU,LICENCIATURA/BACHARELADO,40,"SOCIAL, ONGS","2.800,00-4.500,00",20,CRATO,PRESENCIAL,NOTURNO,"Estudo das estruturas sociais e fenômenos culturais.",Ciências Sociais – Universidade Regional do Cariri – URCA,Humanas & Educação
ARTES VISUAIS,8,550-580,Vestibular/SISU,LICENCIATURA,30,"ARTES, DESIGN","2.200,00-4.500,00",15,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Produção artística, crítica de arte e ensino visual.",Artes Visuais – Universidade Regional do Cariri – URCA,Humanas & Educação
TEATRO,8,530-560,Vestibular/SISU,LICENCIATURA,30,"CULTURAL, ATUAÇÃO","2.000,00-4.500,00",12,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Formação de atores, diretores e produtores culturais.",Teatro – Universidade Regional do Cariri – URCA,Humanas & Educação
CONSTRUÇÃO DE EDIFÍCIOS,6,540-570,Vestibular/SISU,TECNÓLOGO,40,CONSTRUÇÃO CIVIL,"3.500,00-6.000,00",25,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Gerenciamento de canteiros de obra e execução técnica.",Tecnologia em Construção de Edifícios – Universidade Regional do Cariri – URCA,Exatas & Engenharias
TECNOLOGIA EM ESTRADAS,6,520-550,Vestibular/SISU,TECNÓLOGO,40,GEOMENSURA,"3.000,00-5.500,00",15,JUAZEIRO DO NORTE,PRESENCIAL,NOTURNO,"Mapeamento de terrenos e suporte à engenharia civil.",Tecnologia em Estradas – Universidade Regional do Cariri – URCA,Exatas & Engenharias
TURISMO,8,530-560,Vestibular/SISU,BACHARELADO,40,"EVENTOS, LAZER","2.500,00-4.500,00",18,BARBALHA,PRESENCIAL,NOTURNO,"Planejamento de viagens, eventos e gestão hoteleira.",Tecnologia em Gestão de Turismo – Universidade Regional do Cariri – URCA,Negócios & Gestão
HISTÓRIA,8,560-590,Vestibular/SISU,LICENCIATURA,40,"EDUCAÇÃO, ARQUIVO","2.800,00-4.500,00",25,CRATO,PRESENCIAL,NOTURNO,"Investigação de eventos passados e formação crítica.",História – Universidade Regional do Cariri – URCA,Humanas & Educação
LETRAS,8,540-570,Vestibular/SISU,LICENCIATURA,40,"EDUCAÇÃO, TRADUÇÃO","2.500,00-4.000,00",28,CRATO/IGUATU,PRESENCIAL,NOTURNO,"Estudo da língua portuguesa, literatura e idiomas.",Letras – Universidade Regional do Cariri – URCA,Humanas & Educação
